Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Electrical Technician,PT Jaya Samudra Karunia Group,Nias,5324168
Account Officer (Surabaya),PT Asuransi Raksa Pratikara,Surabaya,6000000
Daily Worker (Store Operation),PT Chateraise Gobel Indonesia,Jakarta Raya,6734073
LEGAL MANAGER,PT NIKI REAL ESTATE,Denpasar,12500000
HP Executive Assistant (Account Officer) BANDUNG AREA,PT Prismaco Jaya Indonesia,Bandung,5139936
Store Supervisor,Kawan Lama Group,Kendari,6089094
Accountant,Technosoft Group,Jakarta Barat,5612597
Creative & Product Development Director,PT Dream Dare Discover,Surabaya,6142419
Brand Graphic Designer,Moon Mate (PT. Merdeka Moon Indonesia),Kuta Selatan,6000000
Brand Graphic Designer,Moon Mate (PT. Merdeka Moon Indonesia),Kuta Selatan,6000000
Heavy Equipment Technical Manager,PT. TEMAS TBK,Jakarta Utara,17168926
R&D Hardware,PT MEILOON TECHNOLOGY INDONESIA,Subang,4884335
"Sales Representative (Chemicals, Pigments & Coatings)",PT Makmur Fantawijaya Chemical Industries,Jakarta Pusat,10000000
accounting specialist,PT. Jetour Motor Indonesia,Jakarta Selatan,10438857
Independent Smallholder Supervisor,PT. REA KALTIM PLANTATIONS,Kembang Janggut,6904104
Accounting Manager,PT Serba Mulia Auto,Kelapa Gading,10959807
SALES EXECUTIVE PRODUK ELEKTRONIK,PT. Elbindo,Jakarta Pusat,5471868
TAX MANAGER,PT Mutiara Indah Anugrah,Jakarta Pusat,14500000
Production Manager -Coal Mining,PT Sumber Mitra Jaya,Berau,14184860
Staff Accounting (Zahir),PT MOTORZOOM INDONESIA,Jakarta Utara,6587194
Crew Sales Store - Semarang,PT Home Credit Indonesia,Semarang,4250000
Sales Executive,PT EMS Indoappliances,Jakarta Selatan,6250000
Assistant Civil Engineering,PT Agro Harapan Lestari,Ketapang,5858176
Supervisor Accounting & Finance,PT. Machindo Inti Cemerlang,Jakarta Utara,7443755
PRINCIPAL (KINDERGARTEN SCHOOL),Sekolah Kristen IPEKA,Palembang,5849885
SUPERVISOR ACCOUNTING,PT Cahayaputra Asa Keramik,Jakarta Utara,8750000
Apprenticeship - Provider Monitoring & Improvement,PT Prudential Life Assurance,Jakarta Selatan,6134601
COORDINATOR DEVELOPMENT PROGRAM (CDP) - COLLECTION,PT Indomobil Finance Indonesia,Jakarta Raya,7259856
Supervisor Konstruksi,PT. INGRIA PRATAMA CAPITALINDO,Samarinda,4875000
Hydraulic Sales Engineer,PT Pradita Puncak Sarana,Jakarta Selatan,12500000
Asisten Kebun,PT Sawit Nabati Indah,Binjai Kota,7500000
host live stream,PT Meta Live Stream,Tangerang,5250000
Disposable Sales,PT Karindo Alkestron,Bandung,4250000
Pelaksana Lapangan,CV. Cipta Karsa Dewata,Denpasar,3750000
Chief Accountant,PT Kaia Anugerah Indonesia,Jakarta Pusat,7433873
Sales Associate Palembang,PT Home Credit Indonesia,Palembang,6250000
Mechanical and Electrical Engineer,PT Livzon Pharma Indonesia,Cikarang Pusat,11000000
Actuary Analyst,Mega Insurance,Jakarta Selatan,5648724
HEAD OF MARKETING | CREATIVE MARKETING,PT Dwi Krafi Brands,Bekasi,21500000
"SALES SUPERVISOR - WAREHOUSE, COMMERCIAL & INDUSTRIAL (GRESIK)",PT AKR Surabaya Land Corporindo,Gresik,9101227
Marketplace Specialist,PT Cahaya Optima Karya,Jakarta Pusat,6324805
MARKETING & PRODUCT SPECIALIST (PERAWAT / FARMASI / BIOMEDIS / ELEKTROMEDIK),PT. MEDMAX GLOBAL INDOTAMA,Jawa Timur,8250000
MARKETING & PRODUCT SPECIALIST (PERAWAT / FARMASI / BIOMEDIS / ELEKTROMEDIK),PT. MEDMAX GLOBAL INDOTAMA,Jawa Timur,7405546
Helper Gudang,Moerni 78,Yogyakarta,3038055
Senior Recruitment Consultant,Geekhunter,Jakarta Selatan,6930101
Staf Penagihan (Penempatan Marunda dan Waru),PT Rajawali Dwiputra Indonesia,Tarumajaya,4610323
General Manager,PT. Aero Group Indonesia,Gresik,6761439
Senior Backend Developer,Babylon holidays,Bali,8250000
Sales (Store) Operation Manager,Chocochips Boutique,Jakarta Raya,7837903
Engineer Manager,PT Multibangun Adhitama Konstruksi (Multikon),Jakarta Raya,11616431
"Sales Executive Alkes Area Padang, Bandar Lampung, Banda Aceh, Bungo",PT Endo Indonesia,Padang,5089218
SALES SUPERVISOR,Pengiklan Anonim,Bandung,6256027
Marketing Specialist,PT KOTAMAS MAKMUR NATIONAL AGENCY,Jakarta Pusat,6500000
Finance & Accounting Officer (Batam),PT Kawan Lama Sejahtera,Batam Kota,6210193
HR Compensation and Benefit (Site Based),PT Halmahera Jaya Feronikel,Obi,6120947
Accounting,PT Handal Guna Sarana,Jakarta Selatan,6000000
Store Manager (Fashion Brand),PT. LIFETIME DESIGN,Kota Banda Aceh,7947118
Customer Relationship Management Executive,PT Asia Prima Konjac,Surabaya,9000000
Teknisi Mesin Masker,PT Berkat Anugerah Tripilar,Tangerang,4621942
HEAD STORE PINRANG,PT. Bintang Internasional,Pinrang,5697335
Social Media Coordinator,PT Sinau Bina Sampoerno,Jakarta Barat,5542602
Staff Akunting dan Pajak,PT BRINGIN KARYA SEJAHTERA,Jakarta Raya,6250000
"TERRITORY SALES MANAGER (SULAWESI TENGAH, UTARA, GORONTALO)",PT Prima Karya Berjaya,Sulawesi Tengah,11019955
Solution Analyst,PT Bumi Amartha Teknologi Mandiri,Jakarta Raya,6073728
Loyalty Officer,PT Elite Prima Hutama,Jakarta Raya,6215992
Internship - Industrial Engineering,PT MAS ARYA INDONESIA,Kendal,2241956
Partnership Associate (Telecommunication),FIBERSTAR (PT. Mega Akses Persada),Jakarta Raya,5975268
"Staff Procurement IDM (Mojokerto, Jawa Timur)",PT Arwana Citramulia Tbk,Mojokerto,5216095
TECHNICAL MANAGER - REEFER CONTAINER,PT Panjasa Intradin,Mimika Tengah,22500000
Accounting & Tax,PT Serasi Manunggal Sejahtera,Tangerang,5802183
Tenant & Customer Relation Executive,PT Kawan Lama Sejahtera,Balikpapan Kota,4871375
Trade Marketing Assistant Manager (GT-MT),PT Graha Bumi Hijau,Jakarta Barat,13433509
KOLEKTOR,PT. PANTI KOSMETIKA BARU,Jakarta Barat,5632509
QA Staff Resin and Plastic Molding - Cikarang - WFO (ID: 674363),PT. PERSOLKELLY Recruitment Indonesia,Cikarang Selatan,7000000
SNS Content Creator,PT TEMAN TEMAN MIMPI,Jakarta Selatan,5500000
SNS Content Creator,PT TEMAN TEMAN MIMPI,Jakarta Selatan,5500000
SALES SUPPORT,PT Mitra Pradana Jaya,Tangerang,5104014
QA Manager,PT Pesta Pora Abadi,Majalengka,12193451
MERCHANDISER/PRODUCTION OFFICER,CAPSUL,Jakarta Utara,7000000
AREA SALES EXECUTIVE,PT Sumatera Kartindo,Tangerang,7500000
Relationship Officer BCA Finance - Penempatan Jember,PT BCA Finance,Jember,4917335
SALES REPRESENTATIVE (SERANG),PT Adhi Cakra Utama Mulia,Serang,4927697
OVERSEAS MARKETING EXECUTIVE,PT. TOTAL SOLUSI EXPRESSINDO,Jakarta Pusat,7370692
Marketing,PT. Aleria Semesta,Semarang Barat,4000000
Sales Representative (Padang),"PT Tigaraksa Satria, Tbk",Padang,5105520
Travel Desk Officer,PT Panca Amara Utama,Jakarta Selatan,6297500
Assistant Service Engineer,PT FUJI INDONESIA CORP,Batam Kota,6750000
HR Recruitment & OD Specialist,PT Duta Anugerah Indah (DAAI TV),Jakarta Utara,6468253
Clinic Manager - EU Summarecon Mall Bekasi,PT Arya Noble,Bekasi Utara,14511820
Project Sales Supervisor - Kalimantan (Material Building),PT Sumber Inti Perkasa Pembangunan,Kalimantan Timur,6750000
Copywriter,PT.Kosmestik Sunny Indonesia,Jakarta Utara,6250000
Admin Accounting,CV Alam Cabe,Genteng,4018135
"Channel Sales Manager, Compressor",Ingersoll-Rand,Jawa Timur,9245417
System Analyst,PT Bumi Amartha Teknologi Mandiri,Jakarta Pusat,6069797
Content Creator,Bayoran Teknik,Tangerang,4937985
Building Management Supervisor,PT Kartika Sari Indonesia,Lembang,7306379
SUPERVISOR PRODUKSI KERAMIK,PT Cahayaputra Asa Keramik,Karawang Timur,9375000
Social Media Supervisor,PT. VERTIKAL INTEGRA PERFORMA,Tangerang,6877466
Akunting,CV Bahagia Jaya Raya,Yogyakarta,3052021
Supervisor CPIT (Central Plant Implementation Technology ),PT Pesta Pora Abadi,Majalengka,6853152
Supervisor Fit Out & Development,Galuh Citarum,Karawang Barat,6786788
Sales Executive,PT Panca Budi Pratama,Tangerang,5250000
Account Officer,PT. BPR. DIFOBUTAMA,Depok,4750000
STAFF ACCOUNTING (KHUSUS PENEMPATAN BATU CEPER PORIS TANGERANG),PT Sungai Budi,Tangerang,5309052
Host Live,FORDE GROUP,Tangerang Selatan,5500000
COST CONTROL STAFF,PT Sumber Data Indonesia,Jakarta Selatan,5839311
PR Consultant for Technology Clients,Pengiklan Anonim,Jakarta Selatan,10000000
"Finance, Accounting, Tax Manager",PT Duta Trada Sarana,Tangerang,13500000
"Finance, Accounting, Tax Manager",PT Duta Trada Sarana,Tangerang,13500000
Senior Live Shopping Host,PT ADIDAYA RISET INSTRUMEN INDONESIA,Jakarta Selatan,6000000
"HEALTH, SAFETY, AND ENVIRONMENTAL (HSE) MANAGER",PT Indocater,Teluk Bintuni,25000000
HRD Manager,PT Sinde Budi Sentosa,Jakarta Utara,9454574
Supervisor Maintenance Utility Injection (Plastic),PT Ganda Saribu Utama,Medan,7099579
Staff Finance & Accounting,PT Sepatu Kreatif Indonesia,Tangerang,5750000
"E-Commerce Manager (Live Shopping) - Tiktok, Shopee, Tokopedia",PT Prima Inovasindo Sukses,Cengkareng,12500000
Installer,PT Ciptajaya Sejahtera Abadi,Jakarta Raya,6038119
SPV Telecollection Bekasi,PT Wahana inti Narendra,Bekasi,6050000
Staff HC (Human Capital) Wilayah Bandung,PT BRINGIN KARYA SEJAHTERA,Bandung,5038044
Agency Trainee (Jakarta),MSIG Life Insurance Indonesia Tbk,Jakarta Raya,5958910
HR Operations Sr Specialist,Cargill Tropical Palm,Ketapang,6061208
Management Trainee Marketing Corporate - Penempatan Yogyakarta,"PT. BFI FINANCE INDONESIA, Tbk",Yogyakarta,3441004
Marketing & PR Executive,PT Mitra Prosperindo Abadi,Jakarta Barat,5375000
Sales Officer (CMO) - Medan,PT Buana Finance Tbk,Medan,4576267
"Bancassurance Relationship Officer bank bjb, BWS, Bank Maspion All Area",PT Equity Life Indonesia,Surabaya,4524046
STAFF ACCOUNTING,PT Delegasi Vapor Nusantara,Bekasi Timur,3750000
Inventory Control Staff,PT. Swakarya Insan Mandiri (SIMGROUP),Denpasar,4091359
Maintenance Building,PT Hokkan Deltapack Industri (Jakarta),Tanjung Bintang,5571592
Junior Sales Staff (YL Klaten),PT. Yakult Indonesia Persada,Klaten,4527205
SALES LUBRICANT (MANADO),"PT AKR Corporindo, Tbk",Manado,5129166
Equipment Maintenance Engineer,PT STGM Industri Manufaktur,Batam Kota,11000000
Production Data Analyst,PT Cahaya Jakarta,Cikarang Selatan,6262867
Architect,PT Lumbung Kencana Sakti,Jakarta Pusat,10575000
Agricultural Engineer,PT Buana Megawisatama,Bintan,4558397
Trainer,PT Asuransi Jiwa Central Asia Raya (CAR),Jakarta Barat,6229832
Business Development,PT Podojoyo Masyhur & Group,Jakarta Pusat,6911379
"Digital Marketing (Trosobo, Sidoarjo)",PT CIPUTRA NUSANTARA (Surabaya),Taman,5140971
Senior Staff Finance & Accounting,PT. SINAR CAKRA BUANA,Surabaya,5581881
Product Engineer,PT Garuda Metalindo,Jakarta Utara,6388655
Sales Officer - Pekanbaru,PT Toyota Astra Financial Services,Pekanbaru,4430331
Content Creator - Community-focused,PT Akademi Jurus Maut,Jakarta Selatan,7000000
Administrasi Marketing (Export Import ),PT Delta Group,Pasuruan,3327500
Administrasi Marketing (Export Import ),PT Delta Group,Pasuruan,3985280
Crew Payroll Assistant Manager,PT Waruna Nusa Sentana (MJS Line),Jakarta Utara,11817987
Marketing Staff,PT Asuransi Mitra Pelindung Mustika,Medan,4743235
WAKIL KEPALA GUDANG,Favorite Indonesia,Jakarta Utara,5747511
Teknisi Moulding,PT Matahari Putra Makmur,Pasuruan,4908630
Staff Tax,PT Global Jet Express,Jakarta Utara,7140349
Live Stream Host/Hostess,PT. Ofei Beauty Clinic,Tangerang,5230089
Assistance staff,PT. SEHAT SEJAHTERA KLINIKA,Badung,4733076
Retail Manager,PT Nuansa Vadita Prima,Jakarta Utara,11457528
Purchasing/Procurement SPV ( IT Industry ),Pengiklan Anonim,Jakarta Selatan,6878470
Customer Service Engineer,Pengiklan Anonim,Karawang,6402468
STAFF GA & RECRUITMENT,PT. Gosyen Solusi Indonesia,Semarang,3327500
Sales Retail Tangerang & Serang - PT. MSI (SISTER COMPANY),PT Mitra Rubber Industries,Tangerang,5050000
Drafter (MEP),Obayashi-Wijaya Karya-Jaya Konstruksi-JFE Engineering Joint Venture,Jakarta Utara,5796968
Marketing Supervisor (Tunas Auction),PT Tunas Ridean,Bekasi,7750000
Sales Executive,CV KREASI SUKSES MAKMUR,Jakarta Raya,5000000
Advertising & Promotion Officer - Kendari,PT Lippo Malls Indonesia,Kendari,5050129
Pabrik Kosmetik R&D Formulator Manager （化妆品工厂R&D配方研发经理）,Singfoo,Cikarang Pusat,22500000
Site Engineer,PT Buana Global Mandiri,Pekanbaru,7009034
E-Commerce Specialist,PT SLOW BOAT,Denpasar,8000000
COST CONTROL,CV Pesona Musi,Jakarta Raya,3250000
Engineering Project Manager,PT Avia Avian Tbk,Sidoarjo,6857929
Store Supervisor Semarang,Kurnia Ciptamoda Gemilang,Semarang,7134674
Sales Associate Lampung,PT Home Credit Indonesia,Lampung,6250000
admin,Mitra Komunika Sejati,Magetan,3974447
Web Programmer,Ika Raya Sentausa,Malang,5046720
Relationship Officer BCA Finance - Penempatan Jakarta Barat,PT BCA Finance,Jakarta Barat,5784097
Brand Associate Manager,PT Bintang Toedjoe,Jakarta Timur,13183187
Customer Service (CS) - Branch Purwakarta,"PT. BFI FINANCE INDONESIA, Tbk",Purwakarta,5488749
Senior Merchandiser Buyer,Kurnia Ciptamoda Gemilang,Jakarta Selatan,6881333
Field Service Engineer (FSE) - Area : Pontianak - Kalimantan Barat,PT Setia Anugrah Medika,Pontianak,12052336
Chatime Staff,Kawan Lama Group,Jember,4929809
CAR INSPECTOR ( MEKANIK - FOREMAN OTOMOTIF ),OtoSpector Indonesia,Jakarta Raya,5250000
CAR INSPECTOR ( MEKANIK - FOREMAN OTOMOTIF ),OtoSpector Indonesia,Jakarta Raya,5250000
MARKETING & COMMUNICATION SENIOR MANAGER,PT Pesta Pora Abadi,Malang,9192733
Data Analyst,A&W Restaurants Indonesia,Jakarta Utara,6893075
Supervisor Logistic,PT PANCA RASA PRATAMA,Tanjung Pinang Kota,6082318
Business Development Executive,Bentz Jaz Indonesia..,Jakarta Raya,7500000
HR & Admin Director,PT Berkat Sumber Rizki,Jakarta Raya,12500000
Cashier,PT. AQUARIUS CLARISSA PRATAMA,Makassar,1500000
AREA SALES REPRESENTATIVE (SULAWESI TENGAH),PT Prima Karya Berjaya,Sulawesi Tengah,4082348
Furniture Quality Control Supervisor,PT. Cambridge Casual Indonesia,Jakarta Utara,7925099
"Manager, Personnel Admin (HR Operations)",ASIA PULP AND PAPER,Riau,11689225
Mekanik ( Unit LV ),PT Alat Bumi Permai,Kalimantan Timur,6500000
Sales & Marketing Manager,Pengiklan Anonim,Bali,11000000
Crew dan Part Time Restaurant (Samarinda),PT Eka Bogainti,Samarinda,5618359
Electrical Engineer,PT. Sampoerna Jaya Baja Surabaya,Surabaya,5778477
Admin Operator,PT HUA HAI TONG,Kelapa Gading,4322489
Sales & Marketing Project,PT. Wana Dirga Nusantara,Jakarta Raya,11500000
P&GA Manager,PT So Good Food,Wonoayu,12685568
AREA SERVICE DEVELOPMENT (PENEMPATAN : MAKASSAR),PT Yamaha Indonesia Motor Mfg,Makassar,4443054
Drafter Struktur,PT. Seismotec Prima Konsultan,Jawa Timur,5470574
KOL Specialist,PT NATURAL HERBAL ESSENCE,Jakarta Barat,5413688
Part Warehouse (Site),PT Gaya Makmur Mobil,Kolaka,5788336
QC (Chemical) Supervisor,Anvita Pharma Indonesia,Karawang,6721154
Sales Executive Getstok,PT Unggul Adi Jaya,Kabupaten Bekasi,6000000
VIDEOGRAPHER & VIDEO EDITOR | PHOTOGRAPHER & GRAPHIC DESIGNER,PT Dwi Krafi Brands,Bekasi,5368024
Telesales,PT Astrindo Starvision,Jakarta Raya,4750000
TEKNISI,PT Advanced Power Tech,DI Yogyakarta,1910000
Pelaksana Lapangan & Perencanaan,Maju Abadi Surabaya,Surabaya,5193381
PROJECT COORDINATOR,PT Saniharto Enggalhardjo Semarang,Jakarta Raya,8018684
Staff Production Engineering (Stamping),PT Summit Adyawinsa Indonesia,Karawang Barat,5799797
Transport & Distribusi Departement Head,PT Citra Nusantara Energi,Sidoarjo,6645902
Business Development Manager - Indonesia,Faststream Recruitment Pte Ltd,Jakarta Raya,11750284
AREA MANAGER (MEDAN / BATAM),PT Restomart Cipta Usaha,Medan,10233998
People and Organizational Development,PT Tri Usaha Sinar Timur,Sukoharjo,4250000
People and Organizational Development,PT Tri Usaha Sinar Timur,Sukoharjo,4851898
OPERATION MANAGER,PT Uniair Indotama Cargo,Teluknaga,12257583
Field Collection (Medan),PT Dipo Star Finance,Medan,4250000
"Service Consultant for Timika, Makassar, Jayapura (contract based)",PT. PERSOLKELLY Recruitment Indonesia,Timika,12500000
Admin Project & Tender - Port Machinery,PT Berkat Sumber Rizki,Jakarta Utara,8000000
Video Editor,PT Deus Ex Machina Indonesia,Badung,3967405
E-commerce Digital Marketing Specialist,PT. Multi Kreasi Indah,Jakarta Pusat,5845603
KEY ACCOUNT MANAGER,PT Bintang Inter Global,Jakarta Timur,9800637
JIS Academy and Community Sports Finance Officer,Jakarta Intercultural School,Jakarta Selatan,6258474
Learning Organizer,OTO Group,Bogor Selatan,5207864
Accounting Supervisor,PT Avia Avian Tbk,Tangerang,7299190
Creative Design VM (Retail Fashion),PT Turangga Kerta Kencana,Jakarta Barat,6600000
Dosen Prodi Manajemen (UBM Kampus Serpong),Universitas Bunda Mulia (Yayasan Pendidikan Bunda Mulia ),Tangerang,6066349
Sales,PT. Lesso Technology Indonesia,Palu,7000000
SALES TRAINEE PROGRAM,PT OASE TEKNOLOGI ASIA,Jakarta Raya,5385043
Tiktok Specialist (Content Creator),PT. YISHAN TEKNOLOGI INDONESIA,Tangerang,5750000
IT/Design Officer,Badranaya Partnership,Jakarta Selatan,4625000
HR Staff,PT Natura Pesona Mandiri,Badung,3750000
MARKETING MANAGER,PT. Aseli Dagadu Djokdja,DI Yogyakarta,9324815
Industrial Robotics Engineer,Pengiklan Anonim,Sidoarjo,7000000
IT Associate,PT Ciliandry Anky Abadi Group (CAA Group),Jakarta Pusat,6616385
Sales & Marketing Specialist,Universitas Horizon Indonesia,Karawang,5000000
Sr. Architect Interior,PT. CIPUTRA RESIDENCE,Bogor,5160922
Staff Accounting & Pajak,PT Solusi Sukses Ekatama,Jakarta Raya,5544714
Accountant,PT RUIYANG ENGINEERING INDONESIA,Batam,8500000
"Account Executive AUTO2000 Jabodetabek (Jakarta, Bogor,Depok, Tangerang, Bekasi)",PT Astra International - Toyota Sales Operation (Auto2000),Jakarta Raya,5976981
Junior Procurement Analyst (Makassar Placement),PT Jiva Agriculture Indonesia,Makassar,4618195
Branch Manager (SPA & KTV),Puri Group,Jakarta Raya,9313793
Sales Soybean Specialist (Bandung),FKS Group,Bandung,4764464
Content Creator End-to-End,Digital Marketing,Tangerang,5500000
Kepala Bagian Developer,PT Dwiwahana Delta Megah,Semarang,8373115
Cost Control Manager (Mining),Pengiklan Anonim,Jakarta Raya,14663724
Senior Piping Engineer - Oil & Gas,PT Euroasiatic Jaya,Tangerang Selatan,11500000
Senior Piping Engineer - Oil & Gas,PT Euroasiatic Jaya,Tangerang Selatan,10660594
Area Sales Manager - Kalimantan,PT Delta Sukses Teknologi,Balikpapan,11500000
"Asset Liability Management (ALMA), Treasury, SeaBank",PT Bank Seabank Indonesia,Jakarta Selatan,6936693
Customer Engineer Denpasar,PT Intikom Berlian Mustika,Denpasar,6350955
Sales Supervisor FMCG - Batam,PT Sinde Budi Sentosa,Batam,7691071
Technical Purchasing Staff - Placement: Bintaro,PT Transavia Otomasi Pratama,Tangerang Selatan,5414329
SUPERVISOR,WIN Motorcycle Parts,Pontianak,7374922
PROJECT MANAGER (YPTT Subsidiary),PT YPTT Solutions Indonesia,Jakarta Raya,10575640
Marketing Officer (Makassar),PT Asuransi Total Bersama,Makassar,4217225
Teacher (Assistant Teacher),Mata House Preschool,Jakarta Raya,5781722
Head of Retention Strategy & Monitoring,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,7705829
Product Specialist,PT Sciencewerke,Jakarta Barat,5819349
FNB manager,PT Karya Anak Kepri,Bintan,10000000
FINANCE/ACCOUNTING,PT Blue Waves Hospitality Indonesia,Badung,5250000
Sales Executive (Heavy Equipment),P.T. Airindo Sakti,Samarinda,5763910
Hospital Medical Representative (Yogyakarta Area),DKT Indonesia,DI Yogyakarta,3990125
LEASING OFFICER,PT. Central Mall Kelola,Jakarta Barat,6052944
Rental Marketing Officer (Manado),PT Serasi Autoraya (Member of Astra),Manado,5143558
Sales Leader,CV Solusi Klik,Karawaci,7845126
Manager Housekeeping Hotel,kang Libo International Hotel,Jakarta Utara,11000000
AREA SERVICE DEVELOPMENT (BOGOR),PT Yamaha Indonesia Motor Mfg,Bogor,5018434
Chief Accounting,PT Jayatama Bali Properti (Bali),Badung,11000000
Technical Engineering,PT ADEMCO SECURITY INDONESIA,Tangerang,6621453
Management Trainee Analyst Corporate Pekanbaru,"PT. BFI FINANCE INDONESIA, Tbk",Pekanbaru,6557584
Client Support Engineer,PT Nusantara Compnet Integrator,Jakarta Raya,12984272
Regional Sales Manager,PT Matahari Putra Makmur,Pasuruan,10094573
Digital Marketing Staff,GENESIS+,Bandung,3400000
Technical,PT. AIR INDONESIA MAJU (Purezza),Jakarta Raya,5500000
Marketing Analyst,PT Garuda Metalindo,Jakarta Utara,8764150
AI Engineer,PT IT Group Indonesia,Jakarta Raya,7492511
SUPERVISOR FUNWORLD KENDARI,PT Funworld Prima,Kendari,6126526
Sales Executive,PT. Global Lancar Raya,Tangerang Selatan,8500000
Pelayan Restoran,Shaka Riki,Badung,3850000
Pelayan Restoran,Shaka Riki,Badung,3850000
Tax Accounting Staff,PT Kartika Eka Dharma,Jakarta Barat,5793680
PRODUCT EXECUTIVE (PE),PT.K-LINK NUSANTARA,Jakarta Selatan,6000000
Card Funding Officer (CFO) Jawa Timur,"PT. Bank Mega, Tbk",Surabaya,5001811
Accounting & Tax,Lima Building & Commercial Space,Bandung,5124891
Senior Promotion Staff - Rancamaya,Sinar Mas Land,Bogor,5698942
Sales Support ExIm(Freight Forwarding),PT SZETO GLOBAL INDONESIA,Jakarta Utara,6050000
SUPERVISOR FINANCE ACCOUNTING,CV Pesona Musi,Palembang,7000000
Quality Improvement Specialist,Universitas Ciputra Surabaya,Surabaya,5045199
Account Receivable Staff,PT Tri Anugerah Jaya,DI Yogyakarta,4400933
Junior Tax Consultant & Accounting,PT Russell Bedford Indomitra,Jakarta Selatan,6406505
Account Receivable,PT RAFLESIA NUSANTARA,Batam Kota,5152945
Field Investigator Officer - Manado,PT Indodana Multi Finance,Manado,5705839
HR _ ASSISTANT MANAGER,Pengiklan Anonim,Bandung Barat,10633876
Finance SPV,PT. Graha Bahagia Utama,Surabaya,6634970
Mill Assistant (Kalimantan Timur),"PT SMART,Tbk",Kalimantan Timur,6248433
Multimedia Specialist,Paradigm Fitness Indonesia,Jakarta Selatan,10448182
LABORATORY ASSISTANT,Yayasan Pendidikan Santo Yohanes,Tangerang,5759329
Customer Relationship Executive,"PT. BFI FINANCE INDONESIA, Tbk",Malang,4902062
pengawas,Brother Property,Bekasi Barat,6000000
QA Assistant Manager or QA Manager,PT Emmerick Indonesia Jaya,Jawa Tengah,12000000
SALES BAHAN KIMIA INDUSTRI,PT. MAKRO CHEMINDO,Jakarta Utara,10000000
KOL & TIKTOK SPECIALIST,Tume Activewear,Badung,8500000
Field Sales Supervisor (Medan),PT Delta Djakarta Tbk,Sumatera Utara,6464596
QC ANALYST & QC INSPECTOR,PT Prima Karya Berjaya,Cikande,5572618
Application Engineer,PT Edmi Indonesia,Jakarta Selatan,7745838
STAF INKASO WILAYAH JABODETABEK,PT Asuransi Ramayana Tbk,Jakarta Raya,5779892
1. STAFF MARKETING LCL/FCL CONSOL & OVERSEAS AGENT/WCA,PT Yatari Express Indonesia,Surabaya,5000000
Assistant Manager Export Import Operations,PT Naditama Trancy Logistics Indonesia,Jakarta Raya,11676871
Quality Assurance Officer - Project Management,"PT SMART,Tbk",Jakarta Raya,6730966
KINDERGARTEN/ ELEMENTARY TEACHERS,Sekolah Kristen IPEKA,Jakarta Barat,5172871
Head of Sales Operations for Building Material Company,Pengiklan Anonim,Tangerang,17500000
Financial Advisor - Jakarta Timur (Pasar Rebo),PT AXA Mandiri Financial Services,Jakarta Timur,4250000
Financial Advisor - Jakarta Timur (Pasar Rebo),PT AXA Mandiri Financial Services,Jakarta Timur,4250000
Admin Marketing,PT. Bali Properti Konstruksi,Badung,5000000
Staff SOP,PT Bhakti Idola Tama,Jakarta Barat,5626948
Branch Leader,PT. Aqiqah Dinar Indonesia,Karawang,7046657
Marketing Staf,PT Media Inovasi Indonesia,Surabaya,4600000
Head of Marketing,PT Usaha Kreatif Indonesia,Jakarta Utara,12500000
Engineering Staff – PIK Avenue,ASRI (a subsidiary of Agung Sedayu Group),Jakarta Raya,6850484
SALES Agent,PT. DANBI SOFT INDONESIA,Jakarta Selatan,5082801
Hotel and Restaurant in Pantai Carita,Pengiklan Anonim,Carita,5289538
Sales Representative Area Bandung Selatan,PT Petra Sejahtera Abadi,Bandung,4671140
PURCHASING SUPERVISOR,PT. NHF Diamond Indonesia,Cikarang,7173975
Visual Merchandising Supervisor (Tegal),PT Matahari Department Store Tbk,Tegal,7324940
Business Partner Controller Manager,Pengiklan Anonim,Jakarta Raya,14943166
Accounting,PT. Yanasurya Bhaktipersada (Surabaya),Surabaya,4602884
Content Creator,PT Alibarbar Industrial Indo,Jakarta Raya,5916103
Sr. Production Engineer Refinery or Oleochemical,PT Perindustrian Sawit Synergi,Sangkulirang,8922949
Junior Art Director,PT Solusi Transportasi Indonesia,Jakarta Raya,10774901
Fixed Asset Staff (Asset tagging) - temporary 3 bulan,CINEPOLIS INDONESIA,Tangerang,5500000
TKDN Officer,PT Transavia Otomasi Pratama,Tangerang,5362996
Area Sales Manager (Jawa Timur),PT Djabesdepo Fortuna Raya,Jawa Timur,16675025
Tax Dispute Officer,PT Ciliandra Perkasa,Jakarta Barat,6106469
Finance Intern,PT Trinusa Travelindo,Indonesia,1850800
Relationship Manager SME (RM SME) Semarang,PT Bank Bukopin Tbk,Semarang,11245253
HSE Staff,Reckitt Benckiser Indonesia,Demak,5230334
Marketing Executive [ Base in Indonesia- work form anywhere],"Agenix Co., Ltd.",Jakarta Raya,7740000
After Sales Manager | BMW Tunas,PT Tunas Ridean,Bandung,14722421
Area Sales Supervisor - Semarang,PT Glico Indonesia,Semarang,5631154
"Comprehensive assistant, Generalist (Mandarin)",PT BYD AUTO INDONESIA,Subang,10455362
Field Sales (East Java Area),PT KEX NEX EXPRESS,Jawa Timur,6750000
Product Marketing,PT. MULIA ARTHA SAFETINDO,Jakarta Utara,6232789
