Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
ADMINISTRASI GUDANG - TANGERANG,PT Ekadharma International Tbk,Pasar Kemis,4561710
Customer Service Representative,PT NATURAL HERBAL ESSENCE,Jakarta Barat,5343376
Area Sales Manager (Sub. Distribution Timur),PT Pangan Lestari,Sidoarjo,14029577
Administration Staff,PT Sejahtera Unggul Nusantara,Jakarta Barat,5947667
ADMIN PARIWISATA,PT Surya Cipta Sempurna,Jakarta Barat,5750000
Picker (Warehouse Karawang),PT Miniso Lifestyle Trading Indonesia (Miniso Indonesia),Karawang Timur,5866251
CIMB Niaga Teller CIPTA - Jawa Timur,PT CIMB Niaga Tbk,Jawa Timur,4273446
Staff Operator Produksi,PT. SINO ZONE INDUSTRY INDONESIA,Jakarta Utara,5198381
Fresh Graduate Management Training Program,Deliveree (PT Angkut Teknologi Indonesia),Jakarta Selatan,5000000
STAFF PACKING PACKER,PT Anugerah Cahaya Chandra,Bogor,3750000
MANAGEMENT DEVELOPMENT PROGRAM,"PT Delta Giri Wacana, Tbk.",Jakarta Raya,7216515
Mayora Management Trainee (MDP) OPERATION,PT Mayora Indah Tbk,Surabaya,5531367
Team Leader - Store,PT Social Bella Indonesia,Jakarta Utara,5405721
Logistik,PT Kideta Boga Multirasa,Jakarta Utara,5600000
Customer Care Staff (Eka Hospital Group),EKA HOSPITAL,Tangerang Selatan,5592099
Admin After Sales Service,PT. Gree Electric Appliances Indonesia,Jakarta Utara,4516621
STAFF ADMIN SURABAYA,PT Dana Kharisma,Waru,4761319
Store Crew,Asia Best Indonesia,Medan,3992737
Engineer Staff,PT.SINOMA DEVELOPMENT INDONESIA,Jakarta Selatan,10000000
QC Inspector,PT Saga Trade Murni,Bekasi Timur,5700000
Junior Staff Corporate Planning,PT. BRI Multifinance Indonesia,Jakarta Selatan,6177204
Operator Machine Produksi,PT Asahi Diamond Industrial Indonesia,Cikarang,5750000
Checker,PT Synergy Cakra Buana,Semarang Utara,3454414
STAFF GUDANG,PT Indo Ducting Primatama,Karawang Timur,5139346
SPV Warehouse National,PT. Mustika Citra Rasa,Bekasi,7000000
SPV Warehouse National,PT. Mustika Citra Rasa,Bekasi,7000000
Legal Officer,PT. TEMAS TBK,Jakarta Raya,6351650
Staff Junior HRGA,PT Mandjur Sehat Abadi,Jakarta Raya,8850110
HR Generalist Staff,PT Hana Fashion Indonesia,Kalideres,7000000
Customer Service ( Support MAPAL Australia),PT Mapal Indonesia,Tangerang Selatan,5287818
KEPALA DIVISI PENJUALAN,Perumda Dharma Jaya,Jakarta Timur,20500000
Production Supervisor (Cutting Coil),PT. INTISUMBER BAJASAKTI,Cikande,16500000
Tele Marketing dan Customer Service,PT SUMBERTAMA JAYA TEKNIK - Tools Distributors,Cikarang,5364939
Exclusive Beauty Advisor,PT Muda Berkarya Adv,Jakarta Selatan,7035000
"Internship Program – Creative, Marketing, and Data Division",PT ST Morita Industries (MORITA GROUP),Jakarta Timur,3250000
PROCUREMENT PROJECT,PT Berkah Kawasan Manyar Sejahtera,Gresik,5594844
WAREHOUSE SUPERVISOR (SPV),PT Yusen Logistics Solutions Indonesia,Bekasi,7546413
STORE CREW,GREEN HABIT,Bali,4425000
Primary Production Lamina Operator,Japan Tobacco International Indonesia,Purwosari,4755383
HRGA Staff,L&Co Project | Home Furnishing & Decorating,Jakarta Timur,6250000
Staf HRD,PT Empat Putera Bersaudara Internasional,Jakarta Timur,5500000
Sales Supervisor ( HORECA ),PT Oasis Waters International,Jakarta Pusat,6693467
CNC Mechanical Engineering,PT Murata Machinery Indonesia,Cikarang Pusat,6810810
Procurement Officer (Contract),PT Ecolab International Indonesia,Jakarta Selatan,7032885
Sales Admin/Coordinator,PT. Newark Engineering Indonesia,Jakarta Raya,8500000
HR Officer,"PT. Zyrexindo Mandiri Buana, Tbk",Jakarta Barat,6069531
QUALITY ASSURANCE (QA) STAFF,PT Epson Batam,Batam,4904769
"Management Trainee Sales Logistic (Penempatan Sidoarjo, Semarang, Cikarang)",PT Rapi Trans Logistik Indonesia,Sidoarjo,5530064
Tattoo Shop Receptionist,Pengiklan Anonim,Bali,12500000
Admin Project (Interior Contractor),VIVERE GROUP,Jakarta Raya,7460179
SUPIR DIREKTUR,PT Bangkit Perkasa Sukses,Jakarta Barat,4750000
HRGA Supervisor,PT Santosa Agrindo (Japfa Beef Division),Serang,10000000
Customer Service Head,PT. Sardana IndahBerlian Motor,Medan,6501987
